X,Y,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv,auxiliary_,icon_url
,,0011519A,Regent Refining (canada) Limited(0C12),54.882820000000002,-115.440168999999997,914.700000000000045,914.700000000000045,03:15:06.000,BWL,J,RecExempt,28 Feb 1956,,,./0.png
,,"0015986",Paramount Resources Ltd.(0AW4),55.077482000000003,-115.308006000000006,669.600000000000023,666.000000000000000,10:21:07.000,BWL,J,RecExempt,12 Nov 1958,,,./0.png
,,"0022829",Acquisition Oil Corp.(A7N3),54.874380000000002,-115.435316999999998,903.700000000000045,899.500000000000000,10:10:06.000,BWL,J,Suspension,28 Dec 2006,,,./0.png
,,"0023349",Acquisition Oil Corp.(A7N3),54.881070000000001,-115.422518999999994,917.100000000000023,913.200000000000045,04:14:06.000,BWL,J,Abandoned,22 Oct 1997,,,./0.png
,,"0023482",Razor Energy Corp.(A7L1),54.881576000000003,-115.333571000000006,846.399999999999977,843.100000000000023,02:17:06.000,BWL,J,Abandoned,30 Jul 2004,,,./0.png
,,"0023589",ARC Resources Ltd.(0G30),54.888297999999999,-115.409903000000000,898.899999999999977,894.000000000000000,10:14:06.000,BWL,J,RecExempt,31 Dec 1998,,,./0.png
,,"0023816",Acquisition Oil Corp.(A7N3),54.881813000000001,-115.434088000000003,882.200000000000045,875.600000000000023,02:15:06.000,BWL,J,Amended,25 Aug 2000,,,./0.png
,,"0023816",Acquisition Oil Corp.(A7N3),54.881813000000001,-115.434088000000003,882.200000000000045,875.600000000000023,02:15:06.000,BWL,J,Amended,25 Aug 2000,,,./0.png
,,"0024625",ConocoPhillips Canada Resources Corp.(A5G3),54.895949999999999,-115.370874000000001,863.500000000000000,859.500000000000000,04:19:06.000,BWL,J,RecExempt,31 Dec 1998,,,./0.png
,,"0024752",Razor Energy Corp.(A7L1),54.910201999999998,-115.294566000000003,829.700000000000045,824.799999999999955,04:27:06.000,BWL,J,Suspension,16 Oct 2014,,,./0.png
,,"0025245",Ridgeback Resources Inc.(A7G2),55.005088000000001,-115.282101999999995,725.399999999999977,721.500000000000000,10:27:06.000,BWL,J,Abandoned,05 Aug 2011,,,./0.png
,,"0025258",Cardinal Energy Ltd.(A6A7),54.990459000000001,-115.294651999999999,729.399999999999977,725.399999999999977,12:22:06.000,BWL,J,Issued,02 Dec 1963,,,./0.png
,,"0025315",Husky Oil Operations Limited(0R46),54.895462999999999,-115.344677000000004,836.700000000000045,832.399999999999977,04:20:06.000,BWL,J,Re-Entered,21 Oct 2000,,,./0.png
,,"0025316",Razor Energy Corp.(A7L1),54.881515999999998,-115.319912000000002,839.399999999999977,835.200000000000045,04:16:06.000,BWL,J,Abandoned,04 Apr 2005,,,./0.png
,,"0025477",Razor Energy Corp.(A7L1),54.859479000000000,-115.332503000000003,853.700000000000045,849.200000000000045,10:05:06.000,BWL,J,Suspension,20 Jan 2015,,,./0.png
,,"0025477",Razor Energy Corp.(A7L1),54.859479000000000,-115.332503000000003,853.700000000000045,849.200000000000045,10:05:06.000,BWL,J,Suspension,20 Jan 2015,,,./0.png
,,"0025480",Husky Oil Operations Limited(0R46),54.895750999999997,-115.320080000000004,813.799999999999955,809.500000000000000,04:21:06.000,BWL,J,RecExempt,31 Dec 1998,,,./0.png
,,"0025587",Husky Oil Operations Limited(0R46),54.902748000000003,-115.306752000000003,804.399999999999977,800.100000000000023,10:21:06.000,BWL,J,RecExempt,31 Dec 1998,,,./0.png
,,"0025647",Cardinal Energy Ltd.(A6A7),54.997627000000001,-115.293436999999997,724.799999999999955,720.500000000000000,04:27:06.000,BWL,J,Suspension,29 Dec 2006,,,./0.png
,,"0025687",Razor Energy Corp.(A7L1),54.874073000000003,-115.333686999999998,839.700000000000045,836.100000000000023,10:08:06.000,BWL,J,Suspension,13 Jun 2017,,,./0.png
,,"0026227",Cardinal Energy Ltd.(A6A7),55.034179999999999,-115.409182999999999,736.100000000000023,736.100000000000023,10:02:07.000,BWL,J,Issued,08 Jun 1964,,,./0.png
,,"0026308",Cardinal Energy Ltd.(A6A7),55.034182999999999,-115.421700999999999,742.200000000000045,742.200000000000045,12:02:07.000,BWL,J,Issued,22 Jun 1964,,,./0.png
,,"0026432",Cardinal Energy Ltd.(A6A7),54.990459000000001,-115.307534000000004,783.899999999999977,780.000000000000000,10:21:06.000,BWL,J,Issued,07 Jul 1964,,,./0.png
,,"0026452",Cardinal Energy Ltd.(A6A7),55.033886000000003,-115.370908999999997,749.200000000000045,743.399999999999977,12:06:07.000,BWL,J,Abandoned,11 Jan 2016,,,./0.png
,,"0026456",Cardinal Energy Ltd.(A6A7),55.034379000000001,-115.434278000000006,751.600000000000023,751.600000000000023,10:03:07.000,BWL,J,Issued,10 Jul 1964,,,./0.png
,,"0026598",Cardinal Energy Ltd.(A6A7),55.041415000000001,-115.421699000000004,791.299999999999955,791.299999999999955,04:11:07.000,BWL,J,Suspension,26 Sep 2016,,,./0.png
,,"0027273",Cardinal Energy Ltd.(A6A7),54.983074999999999,-115.307817000000000,735.799999999999955,732.100000000000023,02:21:06.000,BWL,J,Abandoned,18 Mar 2004,,,./0.png
,,"0027350",ExxonMobil Canada Ltd.(0057),54.888719999999999,-115.358348000000007,895.200000000000045,891.200000000000045,10:18:06.000,BWL,J,RecExempt,31 Dec 1998,,,./0.png
,,"0027473",Chevron Canada Limited(0045),54.998274000000002,-115.395594000000003,821.100000000000023,817.799999999999955,04:25:06.000,BWL,J,RecExempt,31 Dec 1998,,,./0.png
