FAC_ID,FAC_NAME,OP_BA_ID,OPERATOR,SUB_CODE,FAC_SUB_TY,LIC_NUMBER,LIC_TYPE,EDCT_TYPE,EDCT_DESCR,LIC_BA_ID,LICENSEE,FAC_STATUS,LOC_SOURCE,icon_url
ABBT8870174,Shell Swan Hills 12-27,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0121791",W,,,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT8870193,Chauvco Swan Hills 2-1,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0123837",W,,,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT8870199,Colin Swan Hills 12-2,0LP5,International Colin Energy Corporation,"311",Crude Oil Single-Well Battery,"0129169",W,,,A7G2,Ridgeback Resources Inc.,Suspended,Well Licence,./0.png
ABBT8870200,Colin Swan Hills 2-3,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0129171",W,,,A7N3,Acquisition Oil Corp.,Suspended,Well Licence,./0.png
ABBT8870215,Chauvco Swan Hills 4-2,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0135585",W,,,A7N3,Acquisition Oil Corp.,Active,Well Licence,./0.png
ABBT0131834,Swan Hills 14-05-069-09w5/0,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0463339",W,"360",Single Well <0.3,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0117898,Midway Hz Swanh 14-10-68-11w5,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0432053",W,"280",Single Well <0.01,A7N3,Acquisition Oil Corp.,Active,Well Licence,./0.png
ABBT0117903,Swanh 13-09,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0424182",W,"140",Single Well 0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0118558,Swanh 04-24,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0435499",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Active,Well Licence,./0.png
ABBT0116840,Swan Hills 08-20,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0422258",W,"140",Single Well 0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0132837,Swanhills 04-26-069-10w5m,0XF2,Dark Energy Ltd.,"311",Crude Oil Single-Well Battery,"0127174",W,,,0XF2,Dark Energy Ltd.,Active,Well Licence,./0.png
ABBT0135608,Lts Deer 12-2-69-9w5/02 Swb,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0129169",W,,,A7G2,Ridgeback Resources Inc.,Suspended,Well Licence,./0.png
