X,Y,CGNDB_ID,GEONAME,LANGUAGE,SYLLABIC,GENERIC,CATEGORY,CONCISE,FEATURE_ID,LOCATION,PROV_TERR,REL_SCALE,DECISION,SOURCE,icon_url
-114.0863889,52.3452778,IAPEY,Jarvis Bay Provincial Park,Undetermined,,Provincial Park,Administrative Area,PARK,0c89799b849c20c3350bc38e36ede473,39-1-W5,Alberta,"1000000",1986-12-31,Alberta Culture and Tourism,./1.png
-117.7086111,53.6338889,IAMCH,Jarvis Creek,Undetermined,,Creek,Water Feature,RIV,0c87e7d3849c20c37ddabf6a69a3c4dc,54-26-W5,Alberta,"250000",1945-12-05,Alberta Culture and Tourism,./0.png
-117.7975,53.4583333,IAMCI,Jarvis Lake,Undetermined,,Lake,Water Feature,LAKE,0c87e815849c20c398c54190d79ba3eb,52-26-W5,Alberta,"250000",1956-08-02,Alberta Culture and Tourism,./0.png
-117.81667,53.45,IARXN,Jarvis Lake Training Area,Undetermined,,Canadian Forces Range and/or Training Area (C.F.T.A.),Constructed Feature,MIL,703f1e7dba3411d892e2080020a0f4c9,,Alberta,"50000",1990-09-01,National Defence,./5.png
-118.17222,52.893056,IATZF,Jasper,Undetermined,,Specialized Municipality,Administrative Area,MUN1,177b2971d05311d892e2080020a0f4c9,45-2-W6,Alberta,"50000",2001-07-20,Alberta Culture and Tourism,./1.png
-118.0830556,52.8777778,IAMCJ,Jasper,Undetermined,,Hamlet,Populated Place,UNP,0cffc1dd849c20c332e51d3751f3b106,16-45-1-W6,Alberta,"7500000",1951-02-07,Alberta Culture and Tourism,./2.png
-117.9805556,53.1383333,IAUAD,Jasper House National Historic Site of Canada,Undetermined,,National Historic Site,Administrative Area,PARK,745f2e21ba3411d892e2080020a0f4c9,,Alberta,"1000000",2001-01-12,Parks Canada,./1.png
-118.02,53.1030556,IAMCM,Jasper Lake,Undetermined,,Lake,Water Feature,LAKE,0c87e856849c20c3781c570bd1b197dd,,Alberta,"250000",1956-08-02,Alberta Culture and Tourism,./0.png
-118.1,52.983333,IATZL,Jasper National Park of Canada,Undetermined,,National Park,Administrative Area,PARK,733b4789ba3411d892e2080020a0f4c9,,Alberta,"5000000",2001-01-12,Parks Canada,./1.png
-113.58333,53.516667,IAMCN,Jasper Park,Undetermined,,Urban Community,Populated Place,UNP,514d5db8bbe111d892e2080020a0f4c9,Edmonton,Alberta,"50000",,Alberta Culture and Tourism,./2.png
-118.08028,52.877222,IAUAF,Jasper Park Information Centre National Historic Site of Canada,Undetermined,,National Historic Site,Administrative Area,PARK,74826d92ba3411d892e2080020a0f4c9,,Alberta,"1000000",2001-01-12,Parks Canada,./1.png
-118.0575,52.8861111,IAMCO,Jasper Park Lodge,Undetermined,,Locality,Populated Place,UNP,0c87e899849c20c356e7bd170999d00c,15-45-1-W6,Alberta,"250000",1951-02-07,Alberta Culture and Tourism,./2.png
-113.56667,53.55,IAASM,Jasper Place,Undetermined,,Locality,Populated Place,UNP,9ca15a61d05411d892e2080020a0f4c9,"52,53-25-W5",Alberta,"50000",1974-12-31,Alberta Culture and Tourism,./2.png
-113.2241667,55.2641667,IAUCO,Jean Baptiste Gambler 183,Undetermined,,Indian Reserve,Administrative Area,IR,04a03d0abbe311d892e2080020a0f4c9,,Alberta,"50000",,Indigenous and Northern Affairs Canada,./1.png
-117.3105556,55.8980556,IAMCR,Jean Côté,Undetermined,,Hamlet,Populated Place,UNP,0c87e8dc849c20c35b12266b843da825,36-79-22-W5,Alberta,"250000",1948-02-06,Alberta Culture and Tourism,./2.png
-113.7616667,57.4880556,IAMCT,Jean Lake,Undetermined,,Lake,Water Feature,LAKE,0c87e91e849c20c328b0c73e5612067f,98-24-W4,Alberta,"250000",1944-10-12,Alberta Culture and Tourism,./0.png
