X,Y,X,Y,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv,auxiliary_,icon_url
-115.434556,54.786825,,,"0014928",Canadian Natural Resources Limited(0HE9),54.786825000000000,-115.434556000000001,1083.299999999999955,1079.299999999999955,10:10:06.000,BWL,J,Abandoned,06 Feb 1982,,,./1.png
-115.308006,55.077482,,,"0015986",Paramount Resources Ltd.(0AW4),55.077482000000003,-115.308006000000006,669.600000000000023,666.000000000000000,10:21:07.000,BWL,J,RecExempt,12 Nov 1958,,,./0.png
-115.453173,54.761305,,,"0016042",Canadian Natural Resources Limited(0HE9),54.761305000000000,-115.453173000000007,1285.000000000000000,1280.200000000000045,14:33:06.000,BWL,J,Suspension,21 Jan 2010,,,
-115.523374,54.822917,,,"0016095",Devon Canada Corporation(0K29),54.822916999999997,-115.523374000000004,1091.799999999999955,1088.099999999999909,04:30:06.000,BWL,J,RecExempt,06 Nov 1958,,,./0.png
-115.472578,54.837801,,,"0016096",Canadian Natural Resources Limited(0HE9),54.837800999999999,-115.472577999999999,1012.200000000000045,1008.600000000000023,04:33:06.000,BWL,J,Suspension,18 Jun 2016,,,
-115.510868,54.801919,,,"0016097",Canadian Natural Resources Limited(0HE9),54.801918999999998,-115.510868000000002,991.799999999999955,988.200000000000045,10:18:06.000,BWL,J,Abandoned,26 Apr 2001,,,./1.png
-115.469963,54.792809,,,"0016098",Canadian Natural Resources Limited(0HE9),54.792808999999998,-115.469963000000007,1041.200000000000045,1037.200000000000045,04:16:06.000,BWL,J,Suspension,24 Aug 2019,,,
-115.625093,54.765178,,,"0016165",Devon Canada Corporation(0K29),54.765177999999999,-115.625093000000007,1221.900000000000091,1219.799999999999955,04:04:06.000,BWL,J,RecExempt,26 Dec 1958,,,./0.png
-115.52374,54.837917,,,"0016190",Canadian Natural Resources Limited(0HE9),54.837916999999997,-115.523740000000004,1098.500000000000000,1095.500000000000000,04:31:06.000,BWL,J,Suspension,07 Jan 2008,,,
-115.473166,54.808851,,,"0016192",Canadian Natural Resources Limited(0HE9),54.808850999999997,-115.473166000000006,976.000000000000000,971.700000000000045,04:21:06.000,BWL,J,Abandoned,16 Jan 2000,,,./1.png
