X,Y,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv,auxiliary_,icon_url
,,"0015986",Paramount Resources Ltd.(0AW4),55.077482000000003,-115.308006000000006,669.600000000000023,666.000000000000000,10:21:07.000,BWL,J,RecExempt,12 Nov 1958,,,./0.png
,,"0023349",Acquisition Oil Corp.(A7N3),54.881070000000001,-115.422518999999994,917.100000000000023,913.200000000000045,04:14:06.000,BWL,J,Abandoned,22 Oct 1997,,,./0.png
,,"0023589",ARC Resources Ltd.(0G30),54.888297999999999,-115.409903000000000,898.899999999999977,894.000000000000000,10:14:06.000,BWL,J,RecExempt,31 Dec 1998,,,./0.png
,,"0023816",Acquisition Oil Corp.(A7N3),54.881813000000001,-115.434088000000003,882.200000000000045,875.600000000000023,02:15:06.000,BWL,J,Amended,25 Aug 2000,,,./0.png
,,"0023816",Acquisition Oil Corp.(A7N3),54.881813000000001,-115.434088000000003,882.200000000000045,875.600000000000023,02:15:06.000,BWL,J,Amended,25 Aug 2000,,,./0.png
,,"0024625",ConocoPhillips Canada Resources Corp.(A5G3),54.895949999999999,-115.370874000000001,863.500000000000000,859.500000000000000,04:19:06.000,BWL,J,RecExempt,31 Dec 1998,,,./0.png
,,"0024752",Razor Energy Corp.(A7L1),54.910201999999998,-115.294566000000003,829.700000000000045,824.799999999999955,04:27:06.000,BWL,J,Suspension,16 Oct 2014,,,./0.png
,,"0025258",Cardinal Energy Ltd.(A6A7),54.990459000000001,-115.294651999999999,729.399999999999977,725.399999999999977,12:22:06.000,BWL,J,Issued,02 Dec 1963,,,./0.png
,,"0025315",Husky Oil Operations Limited(0R46),54.895462999999999,-115.344677000000004,836.700000000000045,832.399999999999977,04:20:06.000,BWL,J,Re-Entered,21 Oct 2000,,,./0.png
,,"0025316",Razor Energy Corp.(A7L1),54.881515999999998,-115.319912000000002,839.399999999999977,835.200000000000045,04:16:06.000,BWL,J,Abandoned,04 Apr 2005,,,./0.png
,,"0025477",Razor Energy Corp.(A7L1),54.859479000000000,-115.332503000000003,853.700000000000045,849.200000000000045,10:05:06.000,BWL,J,Suspension,20 Jan 2015,,,./0.png
,,"0025477",Razor Energy Corp.(A7L1),54.859479000000000,-115.332503000000003,853.700000000000045,849.200000000000045,10:05:06.000,BWL,J,Suspension,20 Jan 2015,,,./0.png
,,"0025480",Husky Oil Operations Limited(0R46),54.895750999999997,-115.320080000000004,813.799999999999955,809.500000000000000,04:21:06.000,BWL,J,RecExempt,31 Dec 1998,,,./0.png
