X,Y,X,Y,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv,icon_url
-115.346748,54.830637,,,"39223",Razor Energy Corp.(A7L1),54.830637000000003,-115.346748000000005,896.700000000000045,892.799999999999955,12:29:06.000,BWL,J,Issued,26-Nov-70,,./0.png
-115.180455,54.931398,,,"39228",Aspenleaf Energy Limited(A74X),54.931398000000002,-115.180454999999995,992.399999999999977,988.500000000000000,10:32:06.000,BWL,J,Issued,26-Nov-70,,./0.png
-115.485389,54.998333,,,"40748",Acquisition Oil Corp.(A7N3),54.998333000000002,-115.485388999999998,816.299999999999955,811.700000000000045,02:29:06.000,BWL,J,Issued,03-Sep-71,,./0.png
-115.370917,54.953663,,,"43183",Cardinal Energy Ltd.(A6A7),54.953662999999999,-115.370917000000006,855.600000000000023,851.899999999999977,04:07:06.000,BWL,J,Issued,03-Aug-72,,./0.png
-115.20317,54.919121,,,"43343",Aspenleaf Energy Limited(A74X),54.919120999999997,-115.203170000000000,944.299999999999955,938.500000000000000,10:30:06.000,BWL,J,Issued,22-Aug-72,,./0.png
-115.58722,54.902929,,,"43730",Acquisition Oil Corp.(A7N3),54.902929000000000,-115.587220000000002,1262.799999999999955,1258.799999999999955,10:22:06.000,BWL,J,Issued,03-Oct-72,,./0.png
-115.38378,54.975987,,,"44354",Cardinal Energy Ltd.(A6A7),54.975987000000003,-115.383780000000002,895.500000000000000,891.500000000000000,10:13:06.000,BWL,J,Issued,30-Nov-72,,./0.png
-115.395524,54.881767,,,"44834",Dark Energy Ltd.(0XF2),54.881767000000004,-115.395523999999995,903.700000000000045,900.100000000000023,04:13:06.000,BWL,J,Issued,17-Jan-73,,./0.png
-115.370659,54.961348,,,"45136",Cardinal Energy Ltd.(A6A7),54.961348000000001,-115.370659000000003,893.700000000000045,889.700000000000045,12:07:06.000,BWL,J,Issued,16-Feb-73,,./0.png
-115.624421,54.874016,,,"45196",Acquisition Oil Corp.(A7N3),54.874015999999997,-115.624420999999998,1143.900000000000091,1140.900000000000091,12:09:06.000,BWL,J,Issued,22-Feb-73,,./0.png
-115.20589,54.903178,,,"45325",Aspenleaf Energy Limited(A74X),54.903177999999997,-115.205889999999997,991.200000000000045,987.600000000000023,10:19:06.000,BWL,J,Issued,05-Mar-73,,./0.png
-115.407184,54.976826,,,"47360",Acquisition Oil Corp.(A7N3),54.976826000000003,-115.407184000000001,892.100000000000023,888.500000000000000,10:14:06.000,BWL,J,Issued,24-Sep-73,,./0.png
-115.477217,54.848525,,,"47520",Canadian Natural Resources Limited(0HE9),54.848525000000002,-115.477216999999996,994.000000000000000,990.299999999999955,16:32:06.000,BWL,J,Issued,04-Oct-73,,./0.png
-115.415892,54.797589,,,"47581",Canadian Natural Resources Limited(0HE9),54.797589000000002,-115.415891999999999,1027.500000000000000,1023.799999999999955,06:14:06.000,BWL,J,Issued,10-Oct-73,,./0.png
-115.442497,54.985954,,,"48364",Acquisition Oil Corp.(A7N3),54.985954000000000,-115.442497000000003,836.700000000000045,832.700000000000045,06:22:06.000,BWL,J,Issued,17-Dec-73,,./0.png
-115.504692,54.775997,,,"48752",Canadian Natural Resources Limited(0HE9),54.775996999999997,-115.504692000000006,1170.400000000000091,1166.500000000000000,16:06:06.000,BWL,J,Issued,23-Jan-74,,./0.png
-115.417572,54.971182,,,"51076",Acquisition Oil Corp.(A7N3),54.971181999999999,-115.417572000000007,876.299999999999955,871.399999999999977,06:14:06.000,BWL,J,Issued,09-Sep-74,,./0.png
-115.180226,54.88904,,,"52735",Aspenleaf Energy Limited(A74X),54.889040000000001,-115.180226000000005,1167.099999999999909,1162.799999999999955,10:17:06.000,BWL,J,Issued,03-Feb-75,,./0.png
-115.460007,54.990897,,,"52980",Acquisition Oil Corp.(A7N3),54.990896999999997,-115.460007000000004,819.600000000000023,814.700000000000045,10:21:06.000,BWL,J,Issued,19-Feb-75,,./0.png
-115.429799,54.993042,,,"53926",Acquisition Oil Corp.(A7N3),54.993042000000003,-115.429799000000003,833.600000000000023,828.799999999999955,16:22:06.000,BWL,J,Issued,18-Jun-75,,./0.png
-115.292827,54.971808,,,"56214",Ridgeback Resources Inc.(A7G2),54.971808000000003,-115.292827000000003,751.600000000000023,747.700000000000045,05:15:06.000,BWL,J,Issued,12-Dec-75,,./0.png
-115.441816,54.95693,,,"56898",Acquisition Oil Corp.(A7N3),54.956930000000000,-115.441816000000003,956.500000000000000,952.500000000000000,06:10:06.000,BWL,J,Issued,03-Feb-76,,./0.png
-115.332209,55.027425,,,"58455",Cardinal Energy Ltd.(A6A7),55.027425000000001,-115.332209000000006,732.700000000000045,728.500000000000000,02:05:07.000,BWL,J,Issued,01-Jun-76,,./0.png
-115.650608,55.115371,,,"67340",KinMerc Oil & Gas Inc.(A2PZ),55.115371000000003,-115.650608000000005,787.600000000000023,783.299999999999955,02:05:07.000,BWL,J,Issued,08-Dec-77,,./0.png
-115.574192,55.011627,,,"67556",Cardinal Energy Ltd.(A6A7),55.011626999999997,-115.574191999999996,907.100000000000023,902.500000000000000,04:35:06.000,BWL,J,Issued,20-Dec-77,,./0.png
-115.414671,54.768832,,,"70445",Canadian Natural Resources Limited(0HE9),54.768832000000003,-115.414670999999998,1181.000000000000000,1177.400000000000091,06:02:06.000,BWL,J,Issued,29-Jun-78,,./0.png
-115.44539,54.999068,,,"70514",Acquisition Oil Corp.(A7N3),54.999068000000001,-115.445390000000003,827.500000000000000,821.700000000000045,04:27:06.000,BWL,J,Issued,05-Jul-78,,./0.png
-115.308237,54.93272,,,"70994",Ridgeback Resources Inc.(A7G2),54.932720000000003,-115.308237000000005,807.799999999999955,802.000000000000000,10:33:06.000,BWL,J,Issued,28-Jul-78,,./0.png
-115.416481,54.776006,,,"71142",Canadian Natural Resources Limited(0HE9),54.776006000000002,-115.416481000000005,1153.000000000000000,1148.799999999999955,14:02:06.000,BWL,J,Issued,04-Aug-78,,./0.png
-115.402517,54.819541,,,"71144",Canadian Natural Resources Limited(0HE9),54.819541000000001,-115.402517000000003,934.899999999999977,931.299999999999955,16:23:06.000,BWL,J,Issued,04-Aug-78,,./0.png
-115.624146,55.029842,,,"73039",Dark Energy Ltd.(0XF2),55.029842000000002,-115.624145999999996,1188.599999999999909,1183.099999999999909,05:04:07.000,BWL,J,Issued,17-Nov-78,,./0.png
-115.574284,54.946725,,,"30059",BP Canada Energy Group ULC(A62D),54.946725000000001,-115.574284000000006,1158.799999999999955,1154.900000000000091,12:02:06.000,BWL,J,RecCertified,31-Dec-78,,./0.png
-115.168182,54.895955,,,"74492",Aspenleaf Energy Limited(A74X),54.895955000000001,-115.168182000000002,1145.700000000000045,1142.000000000000000,04:21:06.000,BWL,J,Issued,15-Feb-79,,./0.png
-115.44073,54.739625,,,"75114",Canadian Natural Resources Limited(0HE9),54.739624999999997,-115.440730000000002,1198.400000000000091,1192.299999999999955,08:28:06.000,BWL,J,Issued,02-Apr-79,,./0.png
-115.41443,54.805618,,,"75320",Canadian Natural Resources Limited(0HE9),54.805618000000003,-115.414429999999996,986.299999999999955,980.200000000000045,14:14:06.000,BWL,J,Issued,24-Apr-79,,./0.png
-115.517006,54.790186,,,"75363",Canadian Natural Resources Limited(0HE9),54.790185999999999,-115.517005999999995,1077.200000000000045,1071.200000000000045,14:07:06.000,BWL,J,Issued,26-Apr-79,,./0.png
